experimento,metodo,K-folds,k,alpha,tiempo,accuracy,precision,recall,F1-score,confusion
Kfold_PruebaCon10000_std,KNN_PCA,23,3,31,0.1505514940563254,0.011107292809229195,0.010733961431530733,0.010704833846312546,0.010977480274853154,"[[41  0  0  0  0  0  0  0  0  0]
 [ 0 47  0  0  0  0  0  0  0  0]
 [ 0  0 39  0  0  0  0  0  0  0]
 [ 0  0  0 41  0  0  0  0  0  0]
 [ 0  0  0  0 41  0  0  0  0  2]
 [ 0  0  0  0  0 36  0  0  0  0]
 [ 0  0  0  0  0  0 41  0  0  0]
 [ 0  0  0  0  0  0  0 44  0  0]
 [ 0  0  0  0  0  0  0  0 39  0]
 [ 0  0  0  0  0  0  0  0  0 41]]"
Kfold_PruebaCon10000_std,KNN_PCA,24,3,31,0.14247966832407183,0.012028418958099148,0.01205824659166141,0.012279177766850452,0.012357190486811248,"[[39  0  0  0  0  0  0  0  0  0]
 [ 0 45  0  0  0  0  0  0  0  0]
 [ 0  0 37  0  0  0  0  0  0  0]
 [ 0  0  0 39  0  0  0  0  0  0]
 [ 0  0  0  0 39  0  0  0  0  1]
 [ 0  0  0  0  0 34  0  0  0  0]
 [ 0  0  0  0  0  0 40  0  0  0]
 [ 0  0  0  0  0  0  0 42  0  0]
 [ 0  0  0  0  0  0  0  0 37  0]
 [ 0  0  0  0  0  0  0  0  0 39]]"
Kfold_PruebaCon10000_std,KNN_PCA,25,3,31,0.11916296782042132,0.011509126813099242,0.011507583445407503,0.011418988851899672,0.01164797506118923,"[[38  0  0  0  0  0  0  0  0  0]
 [ 0 43  0  0  0  0  0  0  0  0]
 [ 0  0 36  0  0  0  0  0  0  0]
 [ 0  0  0 38  0  0  0  0  0  0]
 [ 0  0  0  0 37  0  0  0  0  1]
 [ 0  0  0  0  0 33  0  0  0  0]
 [ 0  0  0  0  0  0 38  0  0  0]
 [ 0  0  0  0  0  0  0 40  0  0]
 [ 0  0  0  0  0  0  0  0 35  0]
 [ 0  0  0  0  0  0  0  0  0 37]]"
Kfold_PruebaCon10000_std,KNN_PCA,26,3,31,0.10640404203998631,0.010702446195517823,0.010457719007653066,0.010650666462738727,0.010755812666995872,"[[36  0  0  0  0  0  0  0  0  0]
 [ 0 42  0  0  0  0  0  0  0  0]
 [ 0  0 34  0  0  0  0  0  0  0]
 [ 0  0  0 36  0  0  0  0  0  0]
 [ 0  0  0  0 36  0  0  0  0  1]
 [ 0  0  0  0  0 32  0  0  0  0]
 [ 0  0  0  0  0  0 37  0  0  0]
 [ 0  0  0  0  0  0  0 39  0  0]
 [ 0  0  0  0  0  0  0  0 34  0]
 [ 0  0  0  0  0  0  0  0  0 36]]"
Kfold_PruebaCon10000_std,KNN_PCA,27,3,31,0.042565943813472326,0.01081247917330382,0.010790336704448044,0.010638970208231726,0.010880943677071283,"[[35  0  0  0  0  0  0  0  0  0]
 [ 0 40  0  0  0  0  0  0  0  0]
 [ 0  0 33  0  0  0  0  0  0  0]
 [ 0  0  0 35  0  0  0  0  0  0]
 [ 0  0  0  0 35  0  0  0  0  1]
 [ 0  0  0  0  0 30  0  0  0  0]
 [ 0  0  0  0  0  0 35  0  0  0]
 [ 0  0  0  0  0  0  0 37  0  0]
 [ 0  0  0  0  0  0  0  0 33  0]
 [ 0  0  0  0  0  0  0  0  0 35]]"
Kfold_PruebaCon10000_std,KNN_PCA,28,3,31,0.1669810301347484,0.009388993922601212,0.009187876178081124,0.00931558379066534,0.009435798760612651,"[[34  0  0  0  0  0  0  0  0  0]
 [ 0 39  0  0  0  0  0  0  0  0]
 [ 0  0 32  0  0  0  0  0  0  0]
 [ 0  0  0 34  0  0  0  0  0  0]
 [ 0  0  0  0 33  0  0  0  0  1]
 [ 0  0  0  0  0 29  0  0  0  0]
 [ 0  0  0  0  0  0 34  0  0  0]
 [ 0  0  0  0  0  0  0 36  0  0]
 [ 0  0  0  0  0  0  0  0 32  0]
 [ 0  0  0  0  0  0  0  0  0 33]]"
Kfold_PruebaCon10000_std,KNN_PCA,29,3,31,0.08921000391515287,0.011484395622843384,0.011088798526125803,0.011516640795073073,0.011542656931508391,"[[32  0  0  0  0  0  0  0  0  0]
 [ 0 37  0  0  0  0  0  0  0  0]
 [ 0  0 31  0  0  0  0  0  0  0]
 [ 0  0  0 33  0  0  0  0  0  0]
 [ 0  0  0  0 32  0  0  0  0  1]
 [ 0  0  0  0  0 28  0  0  0  0]
 [ 0  0  0  0  0  0 33  0  0  0]
 [ 0  0  0  0  0  0  0 35  0  0]
 [ 0  0  0  0  0  0  0  0 30  0]
 [ 0  0  0  0  0  0  0  0  0 32]]"
Kfold_PruebaCon10000_std,KNN_PCA,30,3,31,0.0415289733896642,0.012228043777457584,0.012271735773561436,0.012676829948214695,0.012667541130475732,"[[31  0  0  0  0  0  0  0  0  0]
 [ 0 36  0  0  0  0  0  0  0  0]
 [ 0  0 30  0  0  0  0  0  0  0]
 [ 0  0  0 32  0  0  0  0  0  0]
 [ 0  0  0  0 31  0  0  0  0  1]
 [ 0  0  0  0  0 27  0  0  0  0]
 [ 0  0  0  0  0  0 32  0  0  0]
 [ 0  0  0  0  0  0  0 34  0  0]
 [ 0  0  0  0  0  0  0  0 29  0]
 [ 0  0  0  0  0  0  0  0  0 31]]"
Kfold_PruebaCon10000_std,KNN_PCA,31,3,31,0.18217755536275484,0.012311395278005509,0.011902892943667233,0.012535876628789999,0.012341863495154946,"[[30  0  0  0  0  0  0  0  0  0]
 [ 0 35  0  0  0  0  0  0  0  0]
 [ 0  0 29  0  0  0  0  0  0  0]
 [ 0  0  0 30  0  0  0  0  0  0]
 [ 0  0  0  0 30  0  0  0  0  1]
 [ 0  0  0  0  0 26  0  0  0  0]
 [ 0  0  0  0  0  0 31  0  0  0]
 [ 0  0  0  0  0  0  0 32  0  0]
 [ 0  0  0  0  0  0  0  0 28  0]
 [ 0  0  0  0  0  0  0  0  0 30]]"
Kfold_PruebaCon10000_std,KNN_PCA,32,3,31,0.11046546695188399,0.012783934027115886,0.012589347626094205,0.01301555653196553,0.013159868970403716,"[[29  0  0  0  0  0  0  0  0  0]
 [ 0 34  0  0  0  0  0  0  0  0]
 [ 0  0 28  0  0  0  0  0  0  0]
 [ 0  0  0 30  0  0  0  0  0  0]
 [ 0  0  0  0 29  0  0  0  0  1]
 [ 0  0  0  0  0 26  0  0  0  0]
 [ 0  0  0  0  0  0 30  0  0  0]
 [ 0  0  0  0  0  0  0 31  0  0]
 [ 0  0  0  0  0  0  0  0 28  0]
 [ 0  0  0  0  0  0  0  0  0 29]]"
Kfold_PruebaCon10000_std,KNN_PCA,33,3,31,0.14100493284811183,0.013086190519513671,0.012848362864243,0.012618483420698762,0.01309152871295026,"[[28  0  0  0  0  0  0  0  0  0]
 [ 0 33  0  0  0  0  0  0  0  0]
 [ 0  0 27  0  0  0  0  0  0  0]
 [ 0  0  0 29  0  0  0  0  0  0]
 [ 0  0  0  0 28  0  0  0  0  1]
 [ 0  0  0  0  0 25  0  0  0  0]
 [ 0  0  0  0  0  0 29  0  0  0]
 [ 0  0  0  0  0  0  0 30  0  0]
 [ 0  0  0  0  0  0  0  0 27  0]
 [ 0  0  0  0  0  0  0  0  0 28]]"
Kfold_PruebaCon10000_std,KNN_PCA,34,3,31,0.04461111667406139,0.011774689870498116,0.01117497795563124,0.011087946946139814,0.011425454568178534,"[[28  0  0  0  0  0  0  0  0  0]
 [ 0 32  0  0  0  0  0  0  0  0]
 [ 0  0 26  0  0  0  0  0  0  0]
 [ 0  0  0 28  0  0  0  0  0  0]
 [ 0  0  0  0 27  0  0  0  0  1]
 [ 0  0  0  0  0 24  0  0  0  0]
 [ 0  0  0  0  0  0 28  0  0  0]
 [ 0  0  0  0  0  0  0 29  0  0]
 [ 0  0  0  0  0  0  0  0 26  0]
 [ 0  0  0  0  0  0  0  0  0 27]]"
Kfold_PruebaCon10000_std,KNN_PCA,35,3,31,0.2008629117220674,0.010872011355874222,0.010580739194623703,0.01055031515497885,0.010790697242193462,"[[27  0  0  0  0  0  0  0  0  0]
 [ 0 31  0  0  0  0  0  0  0  0]
 [ 0  0 25  0  0  0  0  0  0  0]
 [ 0  0  0 27  0  0  0  0  0  0]
 [ 0  0  0  0 27  0  0  0  0  1]
 [ 0  0  0  0  0 23  0  0  0  0]
 [ 0  0  0  0  0  0 27  0  0  0]
 [ 0  0  0  0  0  0  0 29  0  0]
 [ 0  0  0  0  0  0  0  0 25  0]
 [ 0  0  0  0  0  0  0  0  0 27]]"
Kfold_PruebaCon10000_std,KNN_PCA,36,3,31,0.041599364042573216,0.013307154580810885,0.013545931714056336,0.013279999950315376,0.013791114550763895,"[[26  0  0  0  0  0  0  0  0  0]
 [ 0 30  0  0  0  0  0  0  0  0]
 [ 0  0 25  0  0  0  0  0  0  0]
 [ 0  0  0 26  0  0  0  0  0  0]
 [ 0  0  0  0 26  0  0  0  0  1]
 [ 0  0  0  0  0 23  0  0  0  0]
 [ 0  0  0  0  0  0 26  0  0  0]
 [ 0  0  0  0  0  0  0 28  0  0]
 [ 0  0  0  0  0  0  0  0 24  0]
 [ 0  0  0  0  0  0  0  0  0 26]]"
Kfold_PruebaCon10000_std,KNN_PCA,37,3,31,0.12425759467233596,0.011957296350594527,0.01198894727598135,0.012364214713736964,0.012328402604798408,"[[25  0  0  0  0  0  0  0  0  0]
 [ 0 29  0  0  0  0  0  0  0  0]
 [ 0  0 24  0  0  0  0  0  0  0]
 [ 0  0  0 25  0  0  0  0  0  0]
 [ 0  0  0  0 25  0  0  0  0  1]
 [ 0  0  0  0  0 22  0  0  0  0]
 [ 0  0  0  0  0  0 26  0  0  0]
 [ 0  0  0  0  0  0  0 27  0  0]
 [ 0  0  0  0  0  0  0  0 24  0]
 [ 0  0  0  0  0  0  0  0  0 25]]"
Kfold_PruebaCon10000_std,KNN_PCA,38,3,31,0.03662269699360813,0.012848312698120092,0.013085679815700548,0.013125552208964766,0.013271490384218626,"[[25  0  0  0  0  0  0  0  0  0]
 [ 0 28  0  0  0  0  0  0  0  0]
 [ 0  0 23  0  0  0  0  0  0  0]
 [ 0  0  0 25  0  0  0  0  0  0]
 [ 0  0  0  0 24  0  0  0  0  1]
 [ 0  0  0  0  0 21  0  0  0  0]
 [ 0  0  0  0  0  0 25  0  0  0]
 [ 0  0  0  0  0  0  0 26  0  0]
 [ 0  0  0  0  0  0  0  0 23  0]
 [ 0  0  0  0  0  0  0  0  0 24]]"
Kfold_PruebaCon10000_std,KNN_PCA,39,3,31,0.031376415944410034,0.01379664441488419,0.013827845320077256,0.014037545497205211,0.01420734806864468,"[[24  0  0  0  0  0  0  0  0  0]
 [ 0 28  0  0  0  0  0  0  0  0]
 [ 0  0 23  0  0  0  0  0  0  0]
 [ 0  0  0 24  0  0  0  0  0  0]
 [ 0  0  0  0 24  0  0  0  0  1]
 [ 0  0  0  0  0 21  0  0  0  0]
 [ 0  0  0  0  0  0 24  0  0  0]
 [ 0  0  0  0  0  0  0 26  0  0]
 [ 0  0  0  0  0  0  0  0 23  0]
 [ 0  0  0  0  0  0  0  0  0 24]]"
Kfold_PruebaCon10000_std,KNN_PCA,40,3,31,0.13242628032720885,0.01515783625719712,0.014959977076463503,0.015280871957109431,0.015463410405507487,"[[23  0  0  0  0  0  0  0  0  0]
 [ 0 27  0  0  0  0  0  0  0  0]
 [ 0  0 22  0  0  0  0  0  0  0]
 [ 0  0  0 23  0  0  0  0  0  0]
 [ 0  0  0  0 23  0  0  0  0  1]
 [ 0  0  0  0  0 20  0  0  0  0]
 [ 0  0  0  0  0  0 24  0  0  0]
 [ 0  0  0  0  0  0  0 25  0  0]
 [ 0  0  0  0  0  0  0  0 22  0]
 [ 0  0  0  0  0  0  0  0  0 23]]"
